trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon.started,polygon.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
103,0,103,0,,,,,,,199.12913000999993,197.60049272499998,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
104,0,104,0,,,,,,,201.11274054499995,199.33336214299993,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
105,0,105,0,,,,,,,202.81337752799993,201.31359985299991,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
106,0,106,0,,,,,,,204.234262942,203.01329733199998,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
107,0,107,0,,,,,,,206.01444059899995,204.45014869399995,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
108,0,108,0,,,,,,,207.50182132199996,206.214534705,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
109,0,109,0,,,,,,,209.43278072499993,207.7024132429999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
110,0,110,0,,,,,,,211.416502735,209.63323957699993,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
111,0,111,0,,,,,,,213.26849803899995,211.616541192,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
112,0,112,0,,,,,,,214.7881270009999,213.46725502599998,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
113,0,113,0,,,,,,,216.40596012999993,215.00200642599998,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
114,0,114,0,,,,,,,218.02295622099996,216.62160548499992,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
115,0,115,0,,,,,,,219.61978134699996,218.21928677699998,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
116,0,116,0,,,,,,,221.07049788999996,219.82312958199998,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
117,0,117,0,,,,,,,222.92292543099995,221.27300020799998,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
118,0,118,0,,,,,,,224.38770045599995,223.1430843359999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
119,0,119,0,,,,,,,226.32686509999996,224.58916809799996,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
120,0,120,0,,,,,,,228.07204727299995,226.53957332699997,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
121,0,121,0,,,,,,,229.62251728899992,228.27730849099999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
122,0,122,0,,,,,,,231.49007943699996,229.82494927999994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
123,0,123,0,,,,,,,233.173570649,231.69404867799994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
124,0,124,0,,,,,,,235.024834919,233.37934823599994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
125,0,125,0,,,,,,,236.86014045299999,235.22436871899993,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
126,0,126,0,,,,,,,238.76359801399997,237.059715837,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
127,0,127,0,,,,,,,240.2263752949999,238.97553257899995,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
128,0,128,0,,,,,,,242.14350722999995,240.42732471499994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
129,0,129,0,,,,,,,243.64432969999996,242.34839795699997,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
130,0,130,0,,,,,,,245.61564565699996,243.84592368899996,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
131,0,131,0,,,,,,,247.366114132,245.8288263359999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
132,0,132,0,,,,,,,248.88067677799995,247.580647667,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
133,0,133,0,,,,,,,250.38442575199997,249.09602389299994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
134,0,134,0,,,,,,,252.03059122499997,250.596566853,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
135,0,135,0,,,,,,,253.53250146099992,252.23449709299996,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
136,0,136,0,,,,,,,255.26455004799993,253.73624569899994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
137,0,137,0,,,,,,,256.78387921499996,255.4645733719999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
138,0,138,0,,,,,,,258.40340641599994,257.00278141699994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
139,0,139,0,,,,,,,259.88289341899997,258.61570760899997,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
140,0,140,0,,,,,,,261.35282502099994,260.0861191199999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
141,0,141,0,,,,,,,263.15276342899995,261.56660908899994,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
142,0,142,0,,,,,,,264.918692513,263.35471335,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
143,0,143,0,,,,,,,266.41922826999996,265.118134144,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
144,0,144,0,,,,,,,268.3209446699999,266.621782682,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
145,0,145,0,,,,,,,270.1880457389999,268.524602363,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
146,0,146,0,,,,,,,271.77346558,270.4075992559999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
147,0,147,0,,,,,,,273.32379198399997,271.9869010719999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
148,0,148,0,,,,,,,275.19075103399996,273.5373564109999,,,Karol_VEP,001,2023_lis_15_1443,VEP,2020.1.2+brain0.21.g3600fa8b8,None,
